PId,Name,Team,Pos,GP,TOI,TOI_min,MP
457,Theo Morgan,EDM,LW,50,19:42,19.7,985
23,Monkey D. Luffy,BUF,LW,50,21:40,21.666666666666668,1083.3333333333335
648,Bo Kane,EDM,C,50,21:15,21.25,1062.5
228,Olivier Cloutier,NOL,RW,50,19:47,19.783333333333335,989.1666666666667
291,Maxime Bouchard,CGY,LW,50,22:51,22.85,1142.5
179,Dick Clapper,HAM,LW,50,21:55,21.916666666666668,1095.8333333333335
382,Nick Brain,WPG,C,50,21:55,21.916666666666668,1095.8333333333335
147,Luke Thomason,MAN,C,50,23:47,23.783333333333335,1189.1666666666667
178,Eko van Otter,BUF,RW,48,23:04,23.066666666666666,1107.2
55,Daniel Smeb,CHI,LW,50,21:40,21.666666666666668,1083.3333333333335
86,Aaron Wilson,HAM,C,50,22:34,22.566666666666666,1128.3333333333333
98,Hugh Jazz,HAM,RW,50,21:28,21.466666666666665,1073.3333333333333
21,Hippo Passamus,BUF,LW,50,21:31,21.516666666666666,1075.8333333333333
310,Tony Pepperoni,EDM,C,50,22:36,22.6,1130
62,Cameron Carter II,CHI,LW,50,17:20,17.333333333333332,866.6666666666666
48,Lallo Selman,CHI,RW,50,21:03,21.05,1052.5
226,Austin Roenick,MAN,LW,50,22:13,22.216666666666665,1110.8333333333333
610,Jean-Paul Boivin,EDM,LW,50,20:27,20.45,1022.5
279,Mikael Choybuk,CGY,RW,50,20:34,20.566666666666666,1028.3333333333333
456,Elijah Jones,LAP,RW,50,21:11,21.183333333333334,1059.1666666666667
15,Viktor Marius,BUF,RW,50,18:23,18.383333333333333,919.1666666666666
490,Jimmy Slothface,NOL,C,50,21:38,21.633333333333333,1081.6666666666667
84,Robert Phelps,HAM,RW,50,18:46,18.766666666666666,938.3333333333333
380,Calogero Crudelli,WPG,RW,50,19:25,19.416666666666668,970.8333333333334
510,Andreas Kvalheim,TEX,C,50,22:58,22.966666666666665,1148.3333333333333
22,Michael Scarn,BUF,RW,50,21:45,21.75,1087.5
681,Jakub Bruchevsi,NEW,RW,50,22:22,22.366666666666667,1118.3333333333333
191,Ola Wagstrom,MAN,RW,50,22:17,22.283333333333335,1114.1666666666667
192,Manuel Gotze,TEX,RW,50,22:21,22.35,1117.5
442,Philipp Winter,LAP,LW,50,21:57,21.95,1097.5
355,Jon Forty-One,EDM,C,50,19:33,19.55,977.5
216,Flacko Lagerfield,HAM,RW,50,18:15,18.25,912.5
219,Matt Kholin,BUF,C,50,21:43,21.716666666666665,1085.8333333333333
16,Nicolaj Muller,NOL,RW,50,17:43,17.716666666666665,885.8333333333333
625,James Ronlain,TBB,RW,50,23:12,23.2,1160
281,Shooter McGavin,NEW,RW,50,16:23,16.383333333333333,819.1666666666666
323,Julio Tokolosh,EDM,RW,50,19:42,19.7,985
326,James Truong,EDM,LW,50,19:05,19.083333333333332,954.1666666666666
489,Michael Fox,NOL,LW,50,19:15,19.25,962.5
491,Lil' Manius,NOL,RW,50,21:25,21.416666666666668,1070.8333333333335
163,Phineas Gold,MAN,LW,50,16:40,16.666666666666668,833.3333333333334
492,Piotr Czerkawski,TEX,LW,50,21:05,21.083333333333332,1054.1666666666665
692,Karl Krashwagen,BAP,RW,50,21:46,21.766666666666666,1088.3333333333333
10,Cassius Darrow,BUF,RD,50,24:06,24.1,1205
185,Slap McShotty,NEW,C,50,24:11,24.183333333333334,1209.1666666666667
325,Boruvka Banananak,MIN,C,50,21:33,21.55,1077.5
409,Jeff Brogen,SFP,LW,50,22:44,22.733333333333334,1136.6666666666667
476,Nicholas Williams,NOL,C,50,20:41,20.683333333333334,1034.1666666666667
801,Mitchell van der Heijden,NEW,LW,50,21:14,21.233333333333334,1061.6666666666667
569,Kaspars Claude,NOL,RD,50,22:23,22.383333333333333,1119.1666666666667
584,Daniel Bischoff,LAP,RW,50,16:28,16.466666666666665,823.3333333333333
153,Jax Aittokallio,MAN,C,50,22:55,22.916666666666668,1145.8333333333335
554,Alexander Wachter,TEX,RW,50,18:19,18.316666666666666,915.8333333333334
47,Nick Connolly,CHI,LW,50,19:35,19.583333333333332,979.1666666666666
612,Nicky Pedersen Jr.,CGY,C,50,19:07,19.116666666666667,955.8333333333334
278,Mike Izzy,CGY,LW,50,19:05,19.083333333333332,954.1666666666666
285,Barry Batsbak,CGY,C,50,21:11,21.183333333333334,1059.1666666666667
54,Martijn Westbroek,CHI,C,50,22:10,22.166666666666668,1108.3333333333335
410,Vince Reaper,SFP,LW,50,21:52,21.866666666666667,1093.3333333333333
423,Richard Metcalf Jr.,SFP,RW,46,21:50,21.833333333333332,1004.3333333333333
450,Borromini Cannellini,LAP,LW,50,20:17,20.283333333333335,1014.1666666666667
725,Filip Zadina,TOR,LW,50,18:24,18.4,919.9999999999999
20,Bobby Sharp,BUF,C,50,21:30,21.5,1075
549,Michael Fitted,TBB,LW,50,21:21,21.35,1067.5
29,Alexander Selich,BUF,RD,50,21:25,21.416666666666668,1070.8333333333335
568,Augustus Wang,BUF,LD,50,21:07,21.116666666666667,1055.8333333333333
583,Ryan Shepard,CHI,C,50,19:57,19.95,997.5
227,Gunnar Soderberg,CHI,RW,50,18:35,18.583333333333332,929.1666666666666
509,Josef Kubinec,TEX,LW,50,19:51,19.85,992.5000000000001
152,Goku Muerto,WPG,C,50,21:08,21.133333333333333,1056.6666666666667
160,Alex Winters,MAN,RW,50,21:14,21.233333333333334,1061.6666666666667
547,Joseph Weston,CGY,RW,50,16:57,16.95,847.5
551,Ivan Maximus,TEX,C,50,19:40,19.666666666666668,983.3333333333334
44,Parker Smeb,CHI,RD,50,24:47,24.783333333333335,1239.1666666666667
947,Cal Labovitch,MIN,RW,50,25:44,25.733333333333334,1286.6666666666667
290,Atlas Rush,CGY,LW,49,16:23,16.383333333333333,802.7833333333333
301,Karlstrasse Scholz,EDM,LD,50,23:34,23.566666666666666,1178.3333333333333
373,Adam Barron,WPG,RD,50,20:45,20.75,1037.5
61,Herb Robert,TBB,RW,50,20:46,20.766666666666666,1038.3333333333333
506,Jake Primeau,SFP,C,50,18:34,18.566666666666666,928.3333333333334
87,Skao Anazibf,HAM,C,50,19:50,19.833333333333332,991.6666666666666
413,Nathan Explosion,WPG,C,50,18:25,18.416666666666668,920.8333333333334
703,Akira Ren,CHI,RD,50,23:06,23.1,1155
148,David Kastrba,MAN,LW,50,19:50,19.833333333333332,991.6666666666666
543,Henrik Lekberg Osterman,SFP,RW,50,21:24,21.4,1070
545,Aron Hernadivic,BUF,LW,50,16:40,16.666666666666668,833.3333333333334
40,Corey Kennedy,CHI,LD,50,26:11,26.183333333333334,1309.1666666666667
292,Brock Nuck,BAP,RW,50,22:23,22.383333333333333,1119.1666666666667
184,Boris Poroshenko,NOL,C,50,18:14,18.233333333333334,911.6666666666667
220,Nickolas Klaus,BAP,C,50,22:43,22.716666666666665,1135.8333333333333
262,Petr Mikulak,BAP,LW,50,21:45,21.75,1087.5
482,Joe Kurczewski,SFP,RW,43,15:59,15.983333333333333,687.2833333333333
521,Emeka Valentine-Okoli,SFP,LW,50,17:40,17.666666666666668,883.3333333333334
452,First-Name Last-Name,TOR,C,50,18:21,18.35,917.5000000000001
475,Mika Mayfield,NOL,LW,50,20:52,20.866666666666667,1043.3333333333333
727,Mega Tron,TBB,RW,50,17:34,17.566666666666666,878.3333333333334
750,Kaarlo Kekkonen,TEX,LW,50,16:53,16.883333333333333,844.1666666666666
143,Barret McCarthy,MAN,RD,50,24:56,24.933333333333334,1246.6666666666667
815,Bale,WPG,RW,50,17:49,17.816666666666666,890.8333333333334
24,Kristoffer Svensson,BAP,C,50,18:10,18.166666666666668,908.3333333333334
276,Otis B. Driftwood,CGY,RD,50,21:57,21.95,1097.5
303,Brady McIntyre,EDM,RD,50,19:38,19.633333333333333,981.6666666666666
170,Perry Morgan,NEW,LD,50,24:13,24.216666666666665,1210.8333333333333
175,Guy Zheng,HAM,RD,50,23:21,23.35,1167.5
356,Collin Gibbles,MIN,RW,50,26:33,26.55,1327.5
236,Rex Kirkby,NOL,LD,50,23:21,23.35,1167.5
78,Dale Miller,HAM,LW,50,19:36,19.6,980.0000000000001
384,Commander Shepard,WPG,LW,50,20:56,20.933333333333334,1046.6666666666667
778,Indigo Trevino,BAP,RW,50,16:08,16.133333333333333,806.6666666666666
782,Jmac NCheese,MIN,LW,50,23:23,23.383333333333333,1169.1666666666667
11,Satoshi Zizagooney,WPG,LD,50,21:08,21.133333333333333,1056.6666666666667
844,SLATT Potts,TEX,RW,50,16:18,16.3,815
669,Zlatan Ibrahimovic Jr,WPG,RD,50,22:40,22.666666666666668,1133.3333333333335
171,Maximilian Egger,NEW,LD,50,16:17,16.283333333333335,814.1666666666667
193,Anders Christiansen,CGY,RW,50,17:42,17.7,885
203,Anastasia O'Koivu,MAN,RW,50,14:49,14.816666666666666,740.8333333333334
343,Noah Gallagher,MIN,LW,50,25:27,25.45,1272.5
376,Ignatius Blunt,WPG,LW,50,19:57,19.95,997.5
417,Knute Knurtsson,HAM,C,50,17:46,17.766666666666666,888.3333333333333
458,Hiro Fujikawa,EDM,RW,50,18:17,18.283333333333335,914.1666666666667
478,DeMaricus Smyth,NOL,LD,50,19:41,19.683333333333334,984.1666666666666
784,Thicc Cheezy,MIN,LW,50,9:58,9.966666666666667,498.3333333333333
786,Danny Marston,TOR,C,50,16:41,16.683333333333334,834.1666666666666
130,Bobby Lane,TOR,RW,50,20:37,20.616666666666667,1030.8333333333333
827,Sasha Dangelchek,NEW,RW,50,18:13,18.216666666666665,910.8333333333333
934,Rhys Pritchard,TOR,LW,50,21:09,21.15,1057.5
944,Kalevolaripaavo Kaspertom,TBB,LW,50,14:54,14.9,745
578,Thomas Vanice,NOL,LW,50,17:01,17.016666666666666,850.8333333333333
617,Rintarou Okabe,BUF,C,50,15:39,15.65,782.5
284,Esa Parmborg,CGY,C,50,21:53,21.883333333333333,1094.1666666666667
212,Nolan Sawchuk,CHI,RW,50,19:21,19.35,967.5000000000001
243,Ethan Ross,CHI,C,50,18:42,18.7,935
252,Shouta Aizawa,MIN,C,50,21:28,21.466666666666665,1073.3333333333333
502,Piotr Horvat,TEX,LD,50,23:29,23.483333333333334,1174.1666666666667
70,Tig Murphy,HAM,LD,50,20:41,20.683333333333334,1034.1666666666667
76,Samuel Michaud,HAM,LD,50,20:41,20.683333333333334,1034.1666666666667
79,Jagger Fouquette,HAM,LW,50,16:52,16.866666666666667,843.3333333333334
437,Oliver Cleary,LAP,LD,50,24:02,24.033333333333335,1201.6666666666667
438,Tony Ford,LAP,RD,50,22:48,22.8,1140
470,Lyle Odelein III,NOL,RD,50,22:34,22.566666666666666,1128.3333333333333
968,Guy O'Shea,TEX,RD,50,16:12,16.2,810
122,Mika Kandinsky,TOR,C,50,22:38,22.633333333333333,1131.6666666666667
580,Jack Kennedy,MIN,RW,50,11:35,11.583333333333334,579.1666666666667
304,FR Finn-Rhys,EDM,RD,50,19:11,19.183333333333334,959.1666666666666
189,Gordie Boomhover,TEX,C,50,17:49,17.816666666666666,890.8333333333334
324,Barrett Blackwood,EDM,RW,50,18:09,18.15,907.4999999999999
251,Dayymo Ralchankinov,BAP,LW,50,21:34,21.566666666666666,1078.3333333333333
508,Ricky Spanish,SFP,RW,50,17:39,17.65,882.4999999999999
400,Ray Bork,SFP,RD,50,20:27,20.45,1022.5
433,Simon LeBlanc,LAP,RD,50,18:39,18.65,932.4999999999999
443,Max Mauldin,LAP,C,50,22:34,22.566666666666666,1128.3333333333333
481,Ruslan Zaporozhets,TOR,LW,50,21:16,21.266666666666666,1063.3333333333333
765,Stan Hanson,NEW,C,50,16:10,16.166666666666668,808.3333333333334
136,Andrej Doskocil,MAN,LD,50,21:41,21.683333333333334,1084.1666666666667
4,Eric Vanderberg,BUF,RD,50,14:58,14.966666666666667,748.3333333333334
6,Poopity Scoop,BUF,LD,50,24:01,24.016666666666666,1200.8333333333333
544,Kenny Creller,LAP,C,50,16:19,16.316666666666666,815.8333333333334
550,Luca Vecceli,MAN,C,50,14:44,14.733333333333333,736.6666666666666
928,Keith Lee,TOR,C,50,19:43,19.716666666666665,985.8333333333333
618,Conor Tanner,EDM,RD,50,17:29,17.483333333333334,874.1666666666667
646,Vorian Atreides,LAP,C,50,20:57,20.95,1047.5
647,Henrik Lundqvist Jr.,BAP,C,50,18:50,18.833333333333332,941.6666666666666
273,Chico Smeb,CGY,LD,50,17:45,17.75,887.5
274,Bernik Vrzala,CGY,RD,50,19:18,19.3,965
337,Mathias Seger,MIN,LD,50,28:09,28.15,1407.5
75,Gabriel Johnson,HAM,RD,50,21:47,21.783333333333335,1089.1666666666667
88,Simothy Drunkebird,BAP,LW,50,15:39,15.65,782.5
404,Leopold Lockhart,CGY,LD,50,22:11,22.183333333333334,1109.1666666666667
406,Dominic Montgomery,NEW,RD,50,24:37,24.616666666666667,1230.8333333333333
415,Steven Moyer,SFP,C,50,19:21,19.35,967.5000000000001
702,Adam Scianna,TEX,LD,50,16:24,16.4,819.9999999999999
717,GOD McZehrl,LAP,RW,50,19:52,19.866666666666667,993.3333333333334
736,Alex Petrenko,SFP,LD,50,23:01,23.016666666666666,1150.8333333333333
137,Reginald MacIntyre,MAN,RD,50,15:16,15.266666666666667,763.3333333333334
142,David Vent,MAN,RD,50,22:43,22.716666666666665,1135.8333333333333
634,Sabo Tage,BAP,LD,50,20:27,20.45,1022.5
307,Jordan von Matt,LAP,LD,50,16:14,16.233333333333334,811.6666666666667
181,Rafe Ulrich,NEW,LW,50,20:42,20.7,1035
205,Nikolai Evans,TEX,RD,50,23:27,23.45,1172.5
336,Igor Volkov,NEW,RD,50,19:40,19.666666666666668,983.3333333333334
340,Geoff Moore,MAN,LD,50,21:29,21.483333333333334,1074.1666666666667
271,Brennan Kennedy Jr.,CGY,LD,50,24:39,24.65,1232.5
533,Jon Toner,EDM,LD,50,18:45,18.75,937.5
534,Delver Fudgeson,TOR,LD,53,22:18,22.3,1181.9
535,Troy McClure III,NEW,RD,50,15:26,15.433333333333334,771.6666666666666
422,Yoshimitsu McCloud,WPG,LW,50,19:04,19.066666666666666,953.3333333333334
467,Charlie Serpe,NOL,LD,50,16:11,16.183333333333334,809.1666666666666
950,Axel Meszaros,TOR,RD,50,20:15,20.25,1012.5
971,Reid Sutherland,WPG,RW,50,16:11,16.183333333333334,809.1666666666666
917,Taylor Johansson,TOR,RW,50,16:52,16.866666666666667,843.3333333333334
43,Jules Watt,CHI,LD,50,20:55,20.916666666666668,1045.8333333333335
306,Tor Tuck,EDM,LD,50,17:35,17.583333333333332,879.1666666666666
183,Ricky Bobby,LAP,LW,50,15:59,15.983333333333333,799.1666666666666
335,Noah Tedla,MIN,RD,50,26:55,26.916666666666668,1345.8333333333335
269,Prince Devitt,SFP,RD,50,22:33,22.55,1127.5
71,Akashi SixNine,HAM,LD,50,16:48,16.8,840
536,Nicholas Owens,BUF,LD,50,14:53,14.883333333333333,744.1666666666666
435,Disisde Dayudie,LAP,LD,50,20:43,20.716666666666665,1035.8333333333333
439,Thomas Bathory,LAP,RD,50,20:16,20.266666666666666,1013.3333333333333
701,Johnny Sins,TBB,RD,50,22:22,22.366666666666667,1118.3333333333333
146,Rainbow Dash,NEW,LW,50,16:45,16.75,837.5
791,Al Kayhall,TBB,LW,50,20:40,20.666666666666668,1033.3333333333335
793,Khan Smeb,BAP,LD,47,16:05,16.083333333333332,755.9166666666666
803,Andrey Barbashev II,SFP,C,50,17:46,17.766666666666666,888.3333333333333
841,Magnus Liljestrom,WPG,RD,50,18:20,18.333333333333332,916.6666666666666
664,Abel Skinner,CHI,LD,50,12:49,12.816666666666666,640.8333333333334
665,Liam O'Callaghan,TBB,LD,50,19:42,19.7,985
375,Osbert Whacker,WPG,LD,50,17:39,17.65,882.4999999999999
237,Nat Emerson,BAP,LD,50,25:04,25.066666666666666,1253.3333333333333
500,Bjorn Leppanen,TEX,LD,50,20:48,20.8,1040
466,Darnell Johnson,NOL,RD,50,15:38,15.633333333333333,781.6666666666666
698,Daniel Kuster,TOR,LD,50,17:52,17.866666666666667,893.3333333333334
115,Cal Clucker,TOR,RD,50,17:23,17.383333333333333,869.1666666666666
965,Sven Yxskaft,NEW,LD,50,21:10,21.166666666666668,1058.3333333333335
118,Jan Zacha,NEW,C,13,15:50,15.833333333333334,205.83333333333334
539,Ursin Zimmermann,TOR,RD,50,23:18,23.3,1165
540,Jakob Hamr,TBB,LD,50,25:18,25.3,1265
794,Jack Kanoff,TOR,LD,50,22:01,22.016666666666666,1100.8333333333333
885,Taisei-Tiikeri Wawazat,TBB,C,50,14:39,14.65,732.5
586,Stirling MacTavish,MIN,C,50,9:11,9.183333333333334,459.1666666666667
211,Anthony Archer,TBB,C,50,21:25,21.416666666666668,1070.8333333333335
501,Noah Brusky,TEX,RD,50,20:05,20.083333333333332,1004.1666666666666
74,Jax Duggan,HAM,RD,50,17:17,17.283333333333335,864.1666666666667
405,Charlie Schieck,SFP,LD,50,20:15,20.25,1012.5
731,Luc-Pierre Lespineau-Lebr,CHI,RD,50,11:47,11.783333333333333,589.1666666666666
567,Danila Zhernov,BAP,RD,50,16:07,16.116666666666667,805.8333333333334
933,Jukka Timonen,MAN,LD,50,14:43,14.716666666666667,735.8333333333334
581,Tom Fiddler,TBB,C,50,22:21,22.35,1117.5
275,Jack Wilson,BAP,LD,50,17:58,17.966666666666665,898.3333333333333
174,Dylan Karlsson,MIN,RD,50,21:31,21.516666666666666,1075.8333333333333
369,Slip McScruff,WPG,LD,50,20:58,20.966666666666665,1048.3333333333333
270,Oliver Klozoff,CGY,RD,50,15:51,15.85,792.5
108,Kalevi Karhunen,SFP,RD,50,15:26,15.433333333333334,771.6666666666666
402,Jack Tanner,SFP,LD,50,15:58,15.966666666666667,798.3333333333334
770,Flash Gordon,TBB,RD,50,12:16,12.266666666666667,613.3333333333334
144,Craig Finley,TBB,RD,50,23:33,23.55,1177.5
155,Derek Bohne Jr.,BAP,RD,50,18:12,18.2,910
842,Mikas Bieksa,MIN,LD,50,11:48,11.8,590
571,Haley Knight,MIN,RD,50,12:38,12.633333333333333,631.6666666666666
577,Alexei Rykov,CGY,RW,1,16:31,16.516666666666666,16.516666666666666
202,Miikka Salo,TBB,RD,50,16:15,16.25,812.5
341,Ti-Guy Emond,MIN,LD,50,18:24,18.4,919.9999999999999
